Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Variable1	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Average calibration accuracy [mm]	Average calibration precision SD [mm]	Average calibration precision RMS [mm]	Average calibration accuracy [°]	Average calibration precision SD [°]	Average calibration precision RMS [°]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [MCS px]	Gaze point Y [MCS px]	Gaze point left X [MCS px]	Gaze point left Y [MCS px]	Gaze point right X [MCS px]	Gaze point right Y [MCS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [MCS px]	Fixation point Y [MCS px]
3638777	946681237		Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90		mid_04_start																														EyesNotFound	2238	50494		
3638785	946681244	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681244127																	Invalid	Invalid													EyesNotFound	2238	50494		
3638793	946681252	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681252474																	Invalid	Invalid													EyesNotFound	2238	50494		
3638801	946681261	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681260806																	Invalid	Invalid													EyesNotFound	2238	50494		
3638810	946681269	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681269180																	Invalid	Invalid													EyesNotFound	2238	50494		
3638818	946681277	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681277480																	Invalid	Invalid													EyesNotFound	2238	50494		
3638826	946681286	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681285785																	Invalid	Invalid													EyesNotFound	2238	50494		
3638835	946681294	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681294154																	Invalid	Invalid													EyesNotFound	2238	50494		
3638843	946681302	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681302485																	Invalid	Invalid													EyesNotFound	2238	50494		
3638851	946681311	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681310778																	Invalid	Invalid													EyesNotFound	2238	50494		
3638860	946681319	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681319148																	Invalid	Invalid													EyesNotFound	2238	50494		
3638868	946681327	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681327468																	Invalid	Invalid													EyesNotFound	2238	50494		
3638876	946681336	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681335799																	Invalid	Invalid													EyesNotFound	2238	50494		
3638885	946681344	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681344155																	Invalid	Invalid													EyesNotFound	2238	50494		
3638893	946681352	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681352423																	Invalid	Invalid													EyesNotFound	2238	50494		
3638901	946681361	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681360791																	Invalid	Invalid													EyesNotFound	2238	50494		
3638910	946681369	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681369146																	Invalid	Invalid													EyesNotFound	2238	50494		
3638918	946681377	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681377479																	Invalid	Invalid													EyesNotFound	2238	50494		
3638926	946681386	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681385793																	Invalid	Invalid													EyesNotFound	2238	50494		
3638935	946681394	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681394121																	Invalid	Invalid													EyesNotFound	2238	50494		
3638943	946681402	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681402429																	Invalid	Invalid													EyesNotFound	2238	50494		
3638952	946681411	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681411140																	Invalid	Invalid													EyesNotFound	2238	50494		
3638960	946681419	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681419118																	Invalid	Invalid													EyesNotFound	2238	50494		
3638968	946681427	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681427449																	Invalid	Invalid													EyesNotFound	2238	50494		
3638976	946681436	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681435793																	Invalid	Invalid													EyesNotFound	2238	50494		
3638985	946681444	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681444163																	Invalid	Invalid													EyesNotFound	2238	50494		
3638993	946681452	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681452438																	Invalid	Invalid													EyesNotFound	2238	50494		
3639001	946681461	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681460789																	Invalid	Invalid													EyesNotFound	2238	50494		
3639010	946681469	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681469095																	Invalid	Invalid													EyesNotFound	2238	50494		
3639018	946681477	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681477465																	Invalid	Invalid													EyesNotFound	2238	50494		
3639026	946681486	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681485784																	Invalid	Invalid													EyesNotFound	2238	50494		
3639035	946681494	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681494108																	Invalid	Invalid													EyesNotFound	2238	50494		
3639043	946681502	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681502420																	Invalid	Invalid													EyesNotFound	2238	50494		
3639051	946681511	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681510775																	Invalid	Invalid													EyesNotFound	2238	50494		
3639060	946681519	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681519116																	Invalid	Invalid													EyesNotFound	2238	50494		
3639068	946681527	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681527442																	Invalid	Invalid													EyesNotFound	2238	50494		
3639076	946681536	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681535801																	Invalid	Invalid													EyesNotFound	2238	50494		
3639085	946681544	Eye Tracker	Project63-57	2021/3/19	Participant46		Recording63	2020/12/21	2020/12/21	14:43:29.030	06:43:29.030	6849656	Tobii I-VT (Fixation)	1.145.28180	1080	1920	10.9	4.8	9.6	1.03	0.45	0.90	946681544122																	Invalid	Invalid													EyesNotFound	2238	50494		
