Recording timestamp [μs]	Computer timestamp [μs]	Sensor	Project name	Export date	Participant name	Variable1	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Average calibration accuracy [mm]	Average calibration precision SD [mm]	Average calibration precision RMS [mm]	Average calibration accuracy [°]	Average calibration precision SD [°]	Average calibration precision RMS [°]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [MCS px]	Gaze point Y [MCS px]	Gaze point left X [MCS px]	Gaze point left Y [MCS px]	Gaze point right X [MCS px]	Gaze point right Y [MCS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [MCS px]	Fixation point Y [MCS px]
3730169300	697125360350		Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09		mid_04_start																														EyesNotFound	1151	52993		
3730174197	697125365247	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125365259																	Invalid	Invalid													EyesNotFound	1151	52993		
3730182585	697125373635	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125373647																	Invalid	Invalid													EyesNotFound	1151	52993		
3730190854	697125381904	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125381916																	Invalid	Invalid													EyesNotFound	1151	52993		
3730199161	697125390211	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125390223																	Invalid	Invalid													EyesNotFound	1151	52993		
3730207474	697125398524	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125398536																	Invalid	Invalid													EyesNotFound	1151	52993		
3730215839	697125406889	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125406901																	Invalid	Invalid													EyesNotFound	1151	52993		
3730224243	697125415293	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125415305																	Invalid	Invalid													EyesNotFound	1151	52993		
3730232490	697125423540	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125423552																	Invalid	Invalid													EyesNotFound	1151	52993		
3730240814	697125431864	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125431876																	Invalid	Invalid													EyesNotFound	1151	52993		
3730249229	697125440279	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125440291																	Invalid	Invalid													EyesNotFound	1151	52993		
3730257493	697125448543	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125448555																	Invalid	Invalid													EyesNotFound	1151	52993		
3730265924	697125456974	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125456986																	Invalid	Invalid													EyesNotFound	1151	52993		
3730274165	697125465215	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125465227																	Invalid	Invalid													EyesNotFound	1151	52993		
3730282512	697125473562	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125473574																	Invalid	Invalid													EyesNotFound	1151	52993		
3730291096	697125482146	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125482158																	Invalid	Invalid													EyesNotFound	1151	52993		
3730299251	697125490301	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125490313																	Invalid	Invalid													EyesNotFound	1151	52993		
3730307508	697125498558	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125498570																	Invalid	Invalid													EyesNotFound	1151	52993		
3730315808	697125506858	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125506870																	Invalid	Invalid													EyesNotFound	1151	52993		
3730324163	697125515213	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125515225																	Invalid	Invalid													EyesNotFound	1151	52993		
3730332562	697125523612	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125523624																	Invalid	Invalid													EyesNotFound	1151	52993		
3730340822	697125531872	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125531884																	Invalid	Invalid													EyesNotFound	1151	52993		
3730349173	697125540223	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125540235																	Invalid	Invalid													EyesNotFound	1151	52993		
3730357505	697125548555	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125548567																	Invalid	Invalid													EyesNotFound	1151	52993		
3730365893	697125556943	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125556955																	Invalid	Invalid													EyesNotFound	1151	52993		
3730374155	697125565205	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125565217																	Invalid	Invalid													EyesNotFound	1151	52993		
3730382496	697125573546	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125573558																	Invalid	Invalid													EyesNotFound	1151	52993		
3730390815	697125581865	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125581877																	Invalid	Invalid													EyesNotFound	1151	52993		
3730399167	697125590217	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125590229																	Invalid	Invalid													EyesNotFound	1151	52993		
3730407474	697125598524	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125598536																	Invalid	Invalid													EyesNotFound	1151	52993		
3730415835	697125606885	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125606897																	Invalid	Invalid													EyesNotFound	1151	52993		
3730424205	697125615255	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125615267																	Invalid	Invalid													EyesNotFound	1151	52993		
3730432571	697125623621	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125623633																	Invalid	Invalid													EyesNotFound	1151	52993		
3730440835	697125631885	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125631897																	Invalid	Invalid													EyesNotFound	1151	52993		
3730449173	697125640223	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125640235																	Invalid	Invalid													EyesNotFound	1151	52993		
3730457491	697125648541	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125648553																	Invalid	Invalid													EyesNotFound	1151	52993		
3730465974	697125657024	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125657036																	Invalid	Invalid													EyesNotFound	1151	52993		
3730474157	697125665207	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125665219																	Invalid	Invalid													EyesNotFound	1151	52993		
3730482487	697125673537	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125673549																	Invalid	Invalid													EyesNotFound	1151	52993		
3730490824	697125681874	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125681886																	Invalid	Invalid													EyesNotFound	1151	52993		
3730499168	697125690218	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125690230																	Invalid	Invalid													EyesNotFound	1151	52993		
3730507462	697125698512	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125698524																	Invalid	Invalid													EyesNotFound	1151	52993		
3730516171	697125707221	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125707233																	Invalid	Invalid													EyesNotFound	1151	52993		
3730524202	697125715252	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125715264																	Invalid	Invalid													EyesNotFound	1151	52993		
3730532503	697125723553	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125723565																	Invalid	Invalid													EyesNotFound	1151	52993		
3730540828	697125731878	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125731890																	Invalid	Invalid													EyesNotFound	1151	52993		
3730549145	697125740195	Eye Tracker	Project77_56-49	2021/3/19	Participant17		Recording33	2020/10/30	2020/10/30	14:50:24.683	06:50:24.683	4939347	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.6	6.5	10.8	0.97	0.66	1.09	697125740207																	Invalid	Invalid													EyesNotFound	1151	52993		
