Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Variable1	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Average calibration accuracy [mm]	Average calibration precision SD [mm]	Average calibration precision RMS [mm]	Average calibration accuracy [°]	Average calibration precision SD [°]	Average calibration precision RMS [°]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [MCS px]	Gaze point Y [MCS px]	Gaze point left X [MCS px]	Gaze point left Y [MCS px]	Gaze point right X [MCS px]	Gaze point right Y [MCS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [MCS px]	Fixation point Y [MCS px]
5034585	439909495		Project77-70	2021/10/14	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57		hou_shu_02_s																														Fixation	67	6076	944	705
5034587	439909496	Eye Tracker	Project77-70	2021/10/14	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	439909496019			861	729	861	729			0.09956	0.07683	-0.99206						Valid	Invalid	121.1	108.1	450.4				0.4486	0.6752	0.4486	0.6752			Fixation	67	6076	944	705
5034595	439909504	Eye Tracker	Project77-70	2021/10/14	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	439909504348			877	723	877	723			0.10718	0.07390	-0.99149						Valid	Invalid	121.1	108.1	450.6				0.4569	0.6691	0.4569	0.6691			Fixation	67	6076	944	705
5034603	439909513	Eye Tracker	Project77-70	2021/10/14	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	439909512859			987	724	856	767	1119	681	0.09668	0.09333	-0.99093	0.08867	0.05224	-0.99469	3.42	4.09	Valid	Valid	121.2	108.0	450.8	181.3	109.4	458.6	0.5143	0.6706	0.4459	0.7106	0.5827	0.6306	Fixation	67	6076	944	705
5034612	439909521	Eye Tracker	Project77-70	2021/10/14	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	439909521029			880	717	880	717			0.10805	0.07152	-0.99157						Valid	Invalid	121.2	108.0	450.8				0.4582	0.6637	0.4582	0.6637			Fixation	67	6076	944	705
5034620	439909529	Eye Tracker	Project77-70	2021/10/14	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	439909529349			984	681	853	685	1116	676	0.09550	0.05790	-0.99374	0.08728	0.05022	-0.99492			Valid	Valid	121.2	108.0	450.9	181.4	109.4	458.8	0.5127	0.6301	0.4441	0.6343	0.5813	0.6259	Fixation	67	6076	944	705
5034628	439909538	Eye Tracker	Project77-70	2021/10/14	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	439909537685			988	673	853	685	1123	660	0.09528	0.05810	-0.99375	0.09054	0.04349	-0.99494	3.53	4.01	Valid	Valid	121.3	107.9	451.1	181.5	109.3	459.0	0.5145	0.6228	0.4441	0.6343	0.5850	0.6112	Fixation	67	6076	944	705
5034637	439909546	Eye Tracker	Project77-70	2021/10/14	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	439909546046			883	710	883	710			0.10941	0.06882	-0.99161						Valid	Invalid	121.3	107.9	451.1				0.4600	0.6576	0.4600	0.6576			Fixation	67	6076	944	705
5034645	439909554	Eye Tracker	Project77-70	2021/10/14	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	439909554413			986	692	851	710	1121	674	0.09417	0.06905	-0.99316	0.08904	0.04943	-0.99480			Valid	Valid	121.3	107.9	451.3	181.5	109.3	459.2	0.5133	0.6408	0.4431	0.6578	0.5836	0.6239	Fixation	67	6076	944	705
5034653	439909563	Eye Tracker	Project77-70	2021/10/14	Participant15		Recording31	2020/10/27	2020/10/27	15:01:50.077	07:01:50.077	7300536	Tobii I-VT (Fixation)	1.145.28180	1080	1920	4.6	8.1	13.1	0.58	0.96	1.57	439909562687			981	697	851	710	1111	684	0.09395	0.06920	-0.99317	0.08455	0.05388	-0.99496	3.37	4.00	Valid	Valid	121.4	107.8	451.4	181.6	109.3	459.4	0.5110	0.6457	0.4431	0.6578	0.5788	0.6335	Saccade	17	62260		
