Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Variable1	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Average calibration accuracy [mm]	Average calibration precision SD [mm]	Average calibration precision RMS [mm]	Average calibration accuracy [°]	Average calibration precision SD [°]	Average calibration precision RMS [°]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [MCS px]	Gaze point Y [MCS px]	Gaze point left X [MCS px]	Gaze point left Y [MCS px]	Gaze point right X [MCS px]	Gaze point right Y [MCS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [MCS px]	Fixation point Y [MCS px]
3838362	177674958		Project63-57	2021/8/20	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97		mid_shu_03_start																														Unclassified	8	42180		
3838370	177674966	Eye Tracker	Project63-57	2021/8/20	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	177674965633																	Invalid	Invalid													EyesNotFound	8	27081		
3838378	177674974	Eye Tracker	Project63-57	2021/8/20	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	177674973940			975	767	975	767			0.16424	0.35569	-0.92006						Valid	Invalid	127.1	12.3	357.5				0.5077	0.7105	0.5077	0.7105			Unclassified	17	42181		
3838386	177674982	Eye Tracker	Project63-57	2021/8/20	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	177674982271			1015	853	1015	853			0.18309	0.39087	-0.90205						Valid	Invalid	126.9	12.4	357.6				0.5288	0.7899	0.5288	0.7899			Unclassified	17	42181		
3838395	177674991	Eye Tracker	Project63-57	2021/8/20	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	177674990593																	Invalid	Invalid													EyesNotFound	8	27082		
3838403	177674999	Eye Tracker	Project63-57	2021/8/20	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	177674998957			1015	873	1015	873			0.18258	0.39926	-0.89847						Valid	Invalid	126.7	12.3	357.7				0.5287	0.8082	0.5287	0.8082			Unclassified	17	42182		
3838411	177675007	Eye Tracker	Project63-57	2021/8/20	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	177675007265			978	819	978	819			0.16518	0.37725	-0.91126						Valid	Invalid	126.7	12.4	357.9				0.5096	0.7581	0.5096	0.7581			Unclassified	17	42182		
3838420	177675016	Eye Tracker	Project63-57	2021/8/20	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	177675015648																	Invalid	Invalid													EyesNotFound	8	27083		
3838428	177675024	Eye Tracker	Project63-57	2021/8/20	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	177675023952			957	733	957	733			0.15658	0.33972	-0.92740						Valid	Invalid	126.5	12.5	358.1				0.4983	0.6783	0.4983	0.6783			Unclassified	17	42183		
3838437	177675032	Eye Tracker	Project63-57	2021/8/20	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	177675032309			971	760	971	760			0.16361	0.35194	-0.92161						Valid	Invalid	126.4	12.3	358.3				0.5056	0.7041	0.5056	0.7041			Unclassified	17	42183		
3838445	177675041	Eye Tracker	Project63-57	2021/8/20	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	177675040631																	Invalid	Invalid													EyesNotFound	8	27084		
3838453	177675049	Eye Tracker	Project63-57	2021/8/20	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	177675048940			999	833	999	833			0.17693	0.38282	-0.90672						Valid	Invalid	126.1	12.1	358.5				0.5205	0.7713	0.5205	0.7713			Unclassified	17	42184		
3838462	177675057	Eye Tracker	Project63-57	2021/8/20	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	177675057347			1000	823	1000	823			0.17761	0.37836	-0.90846						Valid	Invalid	126.1	12.0	358.9				0.5209	0.7623	0.5209	0.7623			Unclassified	17	42184		
3838470	177675066	Eye Tracker	Project63-57	2021/8/20	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	177675065608																	Invalid	Invalid													EyesNotFound	8	27085		
3838478	177675074	Eye Tracker	Project63-57	2021/8/20	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	177675073938			965	755	965	755			0.16125	0.34997	-0.92278						Valid	Invalid	125.9	11.8	359.6				0.5026	0.6995	0.5026	0.6995			Unclassified	17	42185		
3838486	177675082	Eye Tracker	Project63-57	2021/8/20	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	177675082259			997	806	997	806			0.17714	0.37138	-0.91143						Valid	Invalid	125.7	11.3	359.9				0.5193	0.7458	0.5193	0.7458			Unclassified	17	42185		
3838495	177675091	Eye Tracker	Project63-57	2021/8/20	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	177675090617																	Invalid	Invalid													EyesNotFound	8	27086		
3838503	177675099	Eye Tracker	Project63-57	2021/8/20	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	177675098951			1008	813	1008	813			0.18242	0.37406	-0.90929						Valid	Invalid	125.6	11.0	360.9				0.5250	0.7525	0.5250	0.7525			Unclassified	17	42186		
3838512	177675107	Eye Tracker	Project63-57	2021/8/20	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	177675107296			979	794	979	794			0.16839	0.36831	-0.91433						Valid	Invalid	125.3	10.3	361.2				0.5101	0.7356	0.5101	0.7356			Unclassified	17	42186		
