Recording timestamp	Computer timestamp	Sensor	Project name	Export date	Participant name	Variable1	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration	Recording Fixation filter name	Recording software version	Recording resolution height	Recording resolution width	Average calibration accuracy (mm)	Average calibration precision SD (mm)	Average calibration precision RMS (mm)	Average calibration accuracy (degrees)	Average calibration precision SD (degrees)	Average calibration precision RMS (degrees)	Eyetracker timestamp	Event	Event value	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y
3793636	1293461466		Project77-70	2021/3/19	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12		mid_sh_04 IntervalStart																														Unclassified	50	51930		
3793640	1293461470	Eye Tracker	Project77-70	2021/3/19	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12	1293461469995			764	446	780	547	748	344	0.04512	0.07632	-0.99606	-0.09785	0.02151	-0.99497			Valid	Valid	124.0	65.1	550.3	197.8	55.1	562.3	0.3979	0.4125	0.4061	0.5068	0.3898	0.3182	Unclassified	50	51930		
3793648	1293461478	Eye Tracker	Project77-70	2021/3/19	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12	1293461478331			770	436	778	558	762	315	0.04475	0.08004	-0.99579	-0.09272	0.01151	-0.99563			Valid	Valid	124.0	65.2	550.2	197.8	55.0	562.5	0.4010	0.4041	0.4055	0.5169	0.3966	0.2913	Unclassified	50	51930		
3793657	1293461487	Eye Tracker	Project77-70	2021/3/19	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12	1293461486766			770	435	778	558	762	312	0.04448	0.07993	-0.99581	-0.09233	0.01085	-0.99567	5.11	5.18	Valid	Valid	124.0	65.2	550.2	197.8	54.9	562.6	0.4011	0.4029	0.4051	0.5166	0.3970	0.2892	Unclassified	50	51930		
3793665	1293461495	Eye Tracker	Project77-70	2021/3/19	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12	1293461495061			771	435	785	472	756	398	0.04781	0.04951	-0.99763	-0.09487	0.04072	-0.99466			Valid	Valid	124.0	65.2	550.1	197.8	54.9	562.7	0.4015	0.4030	0.4091	0.4372	0.3938	0.3687	Saccade	17	52177		
3793673	1293461503	Eye Tracker	Project77-70	2021/3/19	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12	1293461503314			806	379	767	472	846	285	0.04064	0.04973	-0.99794	-0.05990	0.00200	-0.99820			Valid	Valid	123.9	65.1	550.3	197.6	54.5	564.4	0.4200	0.3506	0.3994	0.4375	0.4406	0.2637	Saccade	17	52177		
3793682	1293461512	Eye Tracker	Project77-70	2021/3/19	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12	1293461511672			797	378	766	481	829	274	0.04034	0.05288	-0.99779	-0.06665	-0.00090	-0.99778	5.06	5.16	Valid	Valid	123.9	65.0	550.5	197.8	54.1	565.4	0.4153	0.3496	0.3991	0.4453	0.4316	0.2540	Unclassified	8	51931		
3793690	1293461520	Eye Tracker	Project77-70	2021/3/19	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12	1293461520102			796	385	769	505	823	265	0.04151	0.06151	-0.99724	-0.06888	-0.00340	-0.99762			Valid	Valid	123.9	65.0	550.5	197.9	53.8	566.4	0.4146	0.3568	0.4007	0.4678	0.4285	0.2457	Saccade	17	52178		
3793698	1293461528	Eye Tracker	Project77-70	2021/3/19	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12	1293461528371			774	454	783	509	765	400	0.04686	0.06284	-0.99692	-0.09091	0.04348	-0.99491			Valid	Valid	123.8	65.0	550.6	197.8	53.5	567.2	0.4030	0.4208	0.4077	0.4714	0.3983	0.3702	Saccade	17	52178		
3793707	1293461537	Eye Tracker	Project77-70	2021/3/19	Participant53		Recording70	2020/12/25	2020/12/25	15:00:31.737	07:00:31.737	7161583	Tobii I-VT (Fixation)	1.145.28180	1080	1920	7.1	9.4	14.1	0.56	0.74	1.12	1293461536690			775	471	776	507	773	435	0.04437	0.06233	-0.99707	-0.08784	0.05552	-0.99459	4.80	5.21	Valid	Valid	123.8	65.0	550.7	197.8	53.6	566.9	0.4036	0.4364	0.4044	0.4698	0.4027	0.4031	Unclassified	17	51932		
