Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Variable1	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Average calibration accuracy [mm]	Average calibration precision SD [mm]	Average calibration precision RMS [mm]	Average calibration accuracy [°]	Average calibration precision SD [°]	Average calibration precision RMS [°]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [MCS px]	Gaze point Y [MCS px]	Gaze point left X [MCS px]	Gaze point left Y [MCS px]	Gaze point right X [MCS px]	Gaze point right Y [MCS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [MCS px]	Fixation point Y [MCS px]
5221241	266105963		Project63-57	2021/10/14	Participant8		Recording24	2020/10/15	2020/10/15	14:36:44.087	06:36:44.087	8210651	Tobii I-VT (Fixation)	1.145.28180	1080	1920	2.5	4.7	9.7	0.28	0.48	0.99		mid_shu_04_s																														Saccade	75	47354
5221248	266105970	Eye Tracker	Project63-57	2021/10/14	Participant8		Recording24	2020/10/15	2020/10/15	14:36:44.087	06:36:44.087	8210651	Tobii I-VT (Fixation)	1.145.28180	1080	1920	2.5	4.7	9.7	0.28	0.48	0.99	266105970465			238	518	188	519	289	516	-0.15331	-0.02607	-0.98783	-0.22353	-0.02980	-0.97424			Valid	Valid	98.0	114.9	498.0	159.7	116.6	509.7	0.1241	0.4792	0.0977	0.4809	0.1505	0.4775	Fixation	125	3573	272	523
5221257	266105979	Eye Tracker	Project63-57	2021/10/14	Participant8		Recording24	2020/10/15	2020/10/15	14:36:44.087	06:36:44.087	8210651	Tobii I-VT (Fixation)	1.145.28180	1080	1920	2.5	4.7	9.7	0.28	0.48	0.99	266105978789			213	534	213	534			-0.14224	-0.02052	-0.98962						Valid	Invalid	97.9	115.0	497.8				0.1112	0.4947	0.1112	0.4947			Fixation	125	3573	272	523
5221265	266105987	Eye Tracker	Project63-57	2021/10/14	Participant8		Recording24	2020/10/15	2020/10/15	14:36:44.087	06:36:44.087	8210651	Tobii I-VT (Fixation)	1.145.28180	1080	1920	2.5	4.7	9.7	0.28	0.48	0.99	266105987152			299	506			299	506				-0.21828	-0.03270	-0.97534		4.18	Invalid	Valid				159.4	116.3	511.2	0.1559	0.4686			0.1559	0.4686	Fixation	125	3573	272	523
5221273	266105995	Eye Tracker	Project63-57	2021/10/14	Participant8		Recording24	2020/10/15	2020/10/15	14:36:44.087	06:36:44.087	8210651	Tobii I-VT (Fixation)	1.145.28180	1080	1920	2.5	4.7	9.7	0.28	0.48	0.99	266105995410			257	516	217	532	297	500	-0.14073	-0.02187	-0.98981	-0.21885	-0.03440	-0.97515			Valid	Valid	97.9	115.1	497.4	159.3	116.1	512.0	0.1338	0.4778	0.1132	0.4923	0.1545	0.4633	Fixation	125	3573	272	523
5221282	266106004	Eye Tracker	Project63-57	2021/10/14	Participant8		Recording24	2020/10/15	2020/10/15	14:36:44.087	06:36:44.087	8210651	Tobii I-VT (Fixation)	1.145.28180	1080	1920	2.5	4.7	9.7	0.28	0.48	0.99	266106003776			256	521	215	525	298	518	-0.14141	-0.02479	-0.98964	-0.21778	-0.02760	-0.97561			Valid	Valid	97.6	115.2	497.2	159.1	115.9	512.6	0.1335	0.4827	0.1118	0.4859	0.1552	0.4795	Fixation	125	3573	272	523
5221290	266106012	Eye Tracker	Project63-57	2021/10/14	Participant8		Recording24	2020/10/15	2020/10/15	14:36:44.087	06:36:44.087	8210651	Tobii I-VT (Fixation)	1.145.28180	1080	1920	2.5	4.7	9.7	0.28	0.48	0.99	266106012102			296	527			296	527				-0.21816	-0.02377	-0.97562		4.11	Invalid	Valid				159.0	115.8	513.2	0.1542	0.4884			0.1542	0.4884	Fixation	125	3573	272	523
5221298	266106020	Eye Tracker	Project63-57	2021/10/14	Participant8		Recording24	2020/10/15	2020/10/15	14:36:44.087	06:36:44.087	8210651	Tobii I-VT (Fixation)	1.145.28180	1080	1920	2.5	4.7	9.7	0.28	0.48	0.99	266106020455			314	532			314	532				-0.20909	-0.01819	-0.97773			Invalid	Valid				157.9	113.8	513.3	0.1637	0.4930			0.1637	0.4930	Fixation	125	3573	272	523
5221307	266106029	Eye Tracker	Project63-57	2021/10/14	Participant8		Recording24	2020/10/15	2020/10/15	14:36:44.087	06:36:44.087	8210651	Tobii I-VT (Fixation)	1.145.28180	1080	1920	2.5	4.7	9.7	0.28	0.48	0.99	266106028767			265	543	222	555	309	531	-0.13802	-0.01340	-0.99034	-0.21200	-0.02198	-0.97702			Valid	Valid	97.3	115.5	497.1	158.7	115.6	514.1	0.1383	0.5028	0.1154	0.5139	0.1611	0.4917	Fixation	125	3573	272	523
5221315	266106037	Eye Tracker	Project63-57	2021/10/14	Participant8		Recording24	2020/10/15	2020/10/15	14:36:44.087	06:36:44.087	8210651	Tobii I-VT (Fixation)	1.145.28180	1080	1920	2.5	4.7	9.7	0.28	0.48	0.99	266106037098			309	517			309	517				-0.21201	-0.02729	-0.97689		4.08	Invalid	Valid				158.6	115.7	513.7	0.1611	0.4790			0.1611	0.4790	Fixation	125	3573	272	523
