Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Variable1	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Average calibration accuracy [mm]	Average calibration precision SD [mm]	Average calibration precision RMS [mm]	Average calibration accuracy [°]	Average calibration precision SD [°]	Average calibration precision RMS [°]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [MCS px]	Gaze point Y [MCS px]	Gaze point left X [MCS px]	Gaze point left Y [MCS px]	Gaze point right X [MCS px]	Gaze point right Y [MCS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [MCS px]	Fixation point Y [MCS px]
4998999	178835595		Project63-57	2021/10/14	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97		hou_shu_01_s																														Fixation	83	5294	909	664
4999000	178835595	Eye Tracker	Project63-57	2021/10/14	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	178835595492			899	671	1027	783	770	560	0.16680	0.14764	-0.97488	-0.03303	0.08145	-0.99613	3.35	3.80	Valid	Valid	101.3	64.1	590.3	166.7	61.0	596.7	0.4682	0.6218	0.5351	0.7249	0.4012	0.5186	Fixation	83	5294	909	664
4999008	178835604	Eye Tracker	Project63-57	2021/10/14	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	178835603909			893	659	1012	758	774	561	0.16151	0.13979	-0.97692	-0.03174	0.08167	-0.99615			Valid	Valid	101.3	64.2	590.2	166.7	61.0	596.7	0.4650	0.6105	0.5269	0.7017	0.4031	0.5193	Fixation	83	5294	909	664
4999016	178835612	Eye Tracker	Project63-57	2021/10/14	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	178835612182			899	671	1020	757	778	586	0.16467	0.13928	-0.97646	-0.03004	0.08996	-0.99549			Valid	Valid	101.2	64.2	590.2	166.6	61.0	596.7	0.4684	0.6217	0.5314	0.7006	0.4055	0.5429	Fixation	83	5294	909	664
4999025	178835621	Eye Tracker	Project63-57	2021/10/14	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	178835620544			896	664	1020	757	772	571	0.16468	0.13925	-0.97647	-0.03232	0.08507	-0.99585	3.25	3.83	Valid	Valid	101.2	64.2	590.2	166.6	61.0	596.8	0.4667	0.6147	0.5314	0.7005	0.4021	0.5289	Saccade	17	42181		
4999033	178835629	Eye Tracker	Project63-57	2021/10/14	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	178835628851			930	667	1082	761	777	573	0.18614	0.14024	-0.97246	-0.03047	0.08550	-0.99587			Valid	Valid	101.2	64.2	590.0	166.6	61.0	596.7	0.4842	0.6176	0.5637	0.7050	0.4048	0.5301	Saccade	17	42181		
4999041	178835637	Eye Tracker	Project63-57	2021/10/14	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	178835637188			926	667	1064	769	787	566	0.17994	0.14287	-0.97325	-0.02674	0.08324	-0.99617			Valid	Valid	101.1	64.3	590.0	166.5	61.0	596.7	0.4820	0.6180	0.5542	0.7123	0.4099	0.5237	Unclassified	33	54503		
4999050	178835646	Eye Tracker	Project63-57	2021/10/14	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	178835645544			927	665	1060	772	794	558	0.17838	0.14382	-0.97340	-0.02414	0.08075	-0.99644	3.08	3.78	Valid	Valid	101.1	64.3	589.9	166.5	60.9	596.8	0.4827	0.6158	0.5519	0.7151	0.4136	0.5165	Unclassified	33	54503		
4999058	178835654	Eye Tracker	Project63-57	2021/10/14	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	178835653840			948	663	1090	775	805	552	0.18892	0.14421	-0.97135	-0.02015	0.07879	-0.99669			Valid	Valid	101.1	64.3	589.8	166.5	60.9	596.8	0.4936	0.6140	0.5678	0.7171	0.4193	0.5110	Unclassified	33	54503		
4999066	178835662	Eye Tracker	Project63-57	2021/10/14	Participant7		Recording23	2020/10/14	2020/10/14	14:26:00.540	06:26:00.540	7161412	Tobii I-VT (Fixation)	1.145.28180	1080	1920	9.2	5.5	10.1	0.88	0.53	0.97	178835662172			938	663	1078	765	798	561	0.18506	0.14117	-0.97254	-0.02247	0.08164	-0.99641			Valid	Valid	101.1	64.4	589.7	166.5	60.9	596.8	0.4887	0.6136	0.5615	0.7081	0.4158	0.5191	Unclassified	33	54503		
