Recording timestamp [ms]	Computer timestamp [ms]	Sensor	Project name	Export date	Participant name	Variable1	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration [ms]	Recording Fixation filter name	Recording software version	Recording resolution height [px]	Recording resolution width [px]	Average calibration accuracy [mm]	Average calibration precision SD [mm]	Average calibration precision RMS [mm]	Average calibration accuracy [°]	Average calibration precision SD [°]	Average calibration precision RMS [°]	Eyetracker timestamp [μs]	Event	Event value	Gaze point X [MCS px]	Gaze point Y [MCS px]	Gaze point left X [MCS px]	Gaze point left Y [MCS px]	Gaze point right X [MCS px]	Gaze point right Y [MCS px]	Gaze direction left X [DACS norm]	Gaze direction left Y [DACS norm]	Gaze direction left Z [DACS norm]	Gaze direction right X [DACS norm]	Gaze direction right Y [DACS norm]	Gaze direction right Z [DACS norm]	Pupil diameter left [mm]	Pupil diameter right [mm]	Validity left	Validity right	Eye position left X [DACS mm]	Eye position left Y [DACS mm]	Eye position left Z [DACS mm]	Eye position right X [DACS mm]	Eye position right Y [DACS mm]	Eye position right Z [DACS mm]	Gaze point X [MCS norm]	Gaze point Y [MCS norm]	Gaze point left X [MCS norm]	Gaze point left Y [MCS norm]	Gaze point right X [MCS norm]	Gaze point right Y [MCS norm]	Eye movement type	Gaze event duration [ms]	Eye movement type index	Fixation point X [MCS px]	Fixation point Y [MCS px]
5339449	352378978		Project63-57	2021/10/14	Participant14		Recording30	2020/10/26	2020/10/26	14:37:55.327	06:37:55.327	7736578	Tobii I-VT (Fixation)	1.145.28180	1080	1920	1.3	1.6	2.8	0.13	0.16	0.27		hou_shu_04_s																														Unclassified	25	44179		
5339449	352378979	Eye Tracker	Project63-57	2021/10/14	Participant14		Recording30	2020/10/26	2020/10/26	14:37:55.327	06:37:55.327	7736578	Tobii I-VT (Fixation)	1.145.28180	1080	1920	1.3	1.6	2.8	0.13	0.16	0.27	352378979232			954	674			954	674				0.00787	0.14397	-0.98955			Invalid	Valid				183.0	67.5	444.0	0.4968	0.6239			0.4968	0.6239	Unclassified	25	44179		
5339458	352378988	Eye Tracker	Project63-57	2021/10/14	Participant14		Recording30	2020/10/26	2020/10/26	14:37:55.327	06:37:55.327	7736578	Tobii I-VT (Fixation)	1.145.28180	1080	1920	1.3	1.6	2.8	0.13	0.16	0.27	352378987802			978	659	1008	646	948	671	0.18314	0.13468	-0.97382	0.00515	0.14287	-0.98973			Valid	Valid	116.1	66.2	436.8	182.9	67.6	443.5	0.5094	0.6098	0.5250	0.5980	0.4938	0.6215	Unclassified	25	44179		
5339466	352378996	Eye Tracker	Project63-57	2021/10/14	Participant14		Recording30	2020/10/26	2020/10/26	14:37:55.327	06:37:55.327	7736578	Tobii I-VT (Fixation)	1.145.28180	1080	1920	1.3	1.6	2.8	0.13	0.16	0.27	352378995900			982	669	1014	672	950	667	0.18535	0.14588	-0.97178	0.00604	0.14103	-0.98999	3.38	2.75	Valid	Valid	116.3	66.2	436.4	183.1	67.6	443.0	0.5116	0.6199	0.5281	0.6222	0.4950	0.6175	Saccade	17	40072		
5339474	352379004	Eye Tracker	Project63-57	2021/10/14	Participant14		Recording30	2020/10/26	2020/10/26	14:37:55.327	06:37:55.327	7736578	Tobii I-VT (Fixation)	1.145.28180	1080	1920	1.3	1.6	2.8	0.13	0.16	0.27	352379004253			1034	621			1034	621				0.04641	0.12123	-0.99154			Invalid	Valid				183.2	67.6	442.8	0.5385	0.5749			0.5385	0.5749	Saccade	17	40072		
5339483	352379013	Eye Tracker	Project63-57	2021/10/14	Participant14		Recording30	2020/10/26	2020/10/26	14:37:55.327	06:37:55.327	7736578	Tobii I-VT (Fixation)	1.145.28180	1080	1920	1.3	1.6	2.8	0.13	0.16	0.27	352379012810			1007	653	1050	666	963	640	0.20235	0.14327	-0.96878	0.01204	0.13016	-0.99142			Valid	Valid	116.3	66.0	436.4	183.2	67.4	442.9	0.5243	0.6048	0.5470	0.6166	0.5016	0.5930	Unclassified	50	44180		
5339491	352379021	Eye Tracker	Project63-57	2021/10/14	Participant14		Recording30	2020/10/26	2020/10/26	14:37:55.327	06:37:55.327	7736578	Tobii I-VT (Fixation)	1.145.28180	1080	1920	1.3	1.6	2.8	0.13	0.16	0.27	352379021024			1009	662	1046	688	972	636	0.19962	0.15309	-0.96784	0.01617	0.12852	-0.99158	3.49	3.38	Valid	Valid	116.3	65.8	436.6	183.3	67.2	443.1	0.5255	0.6129	0.5447	0.6369	0.5064	0.5889	Unclassified	50	44180		
5339499	352379029	Eye Tracker	Project63-57	2021/10/14	Participant14		Recording30	2020/10/26	2020/10/26	14:37:55.327	06:37:55.327	7736578	Tobii I-VT (Fixation)	1.145.28180	1080	1920	1.3	1.6	2.8	0.13	0.16	0.27	352379029239			974	651			974	651				0.01682	0.13533	-0.99066			Invalid	Valid				183.4	67.2	442.6	0.5074	0.6032			0.5074	0.6032	Unclassified	50	44180		
5339508	352379038	Eye Tracker	Project63-57	2021/10/14	Participant14		Recording30	2020/10/26	2020/10/26	14:37:55.327	06:37:55.327	7736578	Tobii I-VT (Fixation)	1.145.28180	1080	1920	1.3	1.6	2.8	0.13	0.16	0.27	352379037584			977	632			977	632				0.01850	0.12704	-0.99173			Invalid	Valid				183.4	67.3	442.3	0.5090	0.5854			0.5090	0.5854	Unclassified	50	44180		
5339516	352379046	Eye Tracker	Project63-57	2021/10/14	Participant14		Recording30	2020/10/26	2020/10/26	14:37:55.327	06:37:55.327	7736578	Tobii I-VT (Fixation)	1.145.28180	1080	1920	1.3	1.6	2.8	0.13	0.16	0.27	352379045932			989	613			989	613				0.02392	0.11882	-0.99263		3.35	Invalid	Valid				183.5	67.3	442.0	0.5151	0.5679			0.5151	0.5679	Unclassified	50	44180		
