Recording timestamp	Computer timestamp	Sensor	Project name	Export date	Participant name	Variable1	Recording name	Recording date	Recording date UTC	Recording start time	Recording start time UTC	Recording duration	Recording Fixation filter name	Recording software version	Recording resolution height	Recording resolution width	Average calibration accuracy (mm)	Average calibration precision SD (mm)	Average calibration precision RMS (mm)	Average calibration accuracy (degrees)	Average calibration precision SD (degrees)	Average calibration precision RMS (degrees)	Eyetracker timestamp	Event	Event value	Gaze point X	Gaze point Y	Gaze point left X	Gaze point left Y	Gaze point right X	Gaze point right Y	Gaze direction left X	Gaze direction left Y	Gaze direction left Z	Gaze direction right X	Gaze direction right Y	Gaze direction right Z	Pupil diameter left	Pupil diameter right	Validity left	Validity right	Eye position left X (DACSmm)	Eye position left Y (DACSmm)	Eye position left Z (DACSmm)	Eye position right X (DACSmm)	Eye position right Y (DACSmm)	Eye position right Z (DACSmm)	Gaze point X (MCSnorm)	Gaze point Y (MCSnorm)	Gaze point left X (MCSnorm)	Gaze point left Y (MCSnorm)	Gaze point right X (MCSnorm)	Gaze point right Y (MCSnorm)	Eye movement type	Gaze event duration	Eye movement type index	Fixation point X	Fixation point Y
3690552	315337509		Project77-70	2021/8/20	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91		mid_shu_04_start																														EyesNotFound	114	46123
3690558	315337515	Eye Tracker	Project77-70	2021/8/20	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91	315337515421																	Invalid	Invalid													EyesNotFound	114	46123		
3690566	315337524	Eye Tracker	Project77-70	2021/8/20	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91	315337523754																	Invalid	Invalid													EyesNotFound	114	46123		
3690573	315337530	Eye Tracker	Project77-70	2021/8/20	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91	315337530341																	Invalid	Invalid													EyesNotFound	114	46123		
3690580	315337538	Eye Tracker	Project77-70	2021/8/20	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91	315337537730			311	807	311	807			-0.01518	0.24128	-0.97034						Valid	Invalid	56.6	6.3	611.6				0.1621	0.7476	0.1621	0.7476			Saccade	24	39479		
3690588	315337546	Eye Tracker	Project77-70	2021/8/20	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91	315337545634			513	737	446	757	579	717	0.03133	0.22626	-0.97356	-0.03801	0.21141	-0.97666			Valid	Valid	56.6	6.3	611.4	129.2	7.5	615.2	0.2670	0.6824	0.2322	0.7008	0.3018	0.6641	Saccade	24	39479		
3690596	315337554	Eye Tracker	Project77-70	2021/8/20	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91	315337553978			543	738	499	768	587	708	0.04990	0.22990	-0.97193	-0.03514	0.20904	-0.97728	5.17	5.14	Valid	Valid	56.3	5.7	613.0	129.1	6.8	616.9	0.2827	0.6834	0.2598	0.7114	0.3057	0.6554	Saccade	24	39479		
3690605	315337562	Eye Tracker	Project77-70	2021/8/20	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91	315337562365			536	716	509	764	563	669	0.05443	0.22931	-0.97183	-0.04243	0.19828	-0.97923			Valid	Valid	55.5	4.2	616.8	128.8	5.4	620.9	0.2794	0.6633	0.2653	0.7072	0.2934	0.6194	Fixation	125	3050	561	696
3690613	315337571	Eye Tracker	Project77-70	2021/8/20	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91	315337570666			534	718	504	766	564	669	0.05049	0.22835	-0.97227	-0.04421	0.19601	-0.97961			Valid	Valid	57.3	7.8	606.8	129.5	9.0	610.8	0.2781	0.6646	0.2625	0.7097	0.2936	0.6195	Fixation	125	3050	561	696
3690621	315337579	Eye Tracker	Project77-70	2021/8/20	Participant10		Recording26	2020/10/20	2020/10/20	14:29:11.837	06:29:11.837	7108771	Tobii I-VT (Fixation)	1.145.28180	1080	1920	17.5	12.8	21.3	1.57	1.14	1.91	315337578989			559	678	578	727	541	630	0.07703	0.21680	-0.97317	-0.05134	0.18491	-0.98141	5.21	5.11	Valid	Valid	56.7	6.8	609.3	129.2	7.7	614.3	0.2913	0.6280	0.3011	0.6732	0.2816	0.5829	Fixation	125	3050	561	696
